# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-P" "-B" "-a" "/home/duc/dbMisc/M145.gff" "-t" "gene" "-g" "locus_tag" "--minOverlap" "20" "--fracOverlap" "0.25" "-o" "gene_counts_filtered/C45_2.txt" "align/C45_2.bam" 
Geneid	Chr	Start	End	Strand	Length	align/C45_2.bam
SCO0001	NC_003888.3	446	1123	+	678	46
SCO0002	NC_003888.3	1252	3813	+	2562	173
SCO0003	NC_003888.3	3869	6220	+	2352	71
SCO0004	NC_003888.3	6226	7173	+	948	216
SCO0005	NC_003888.3	7187	9307	+	2121	205
SCO0006	NC_003888.3	9304	10410	+	1107	31
SCO0007	NC_003888.3	10554	11000	-	447	1
SCO0008	NC_003888.3	11010	11360	-	351	1
SCO0009	NC_003888.3	11617	11952	-	336	1
SCO0010	NC_003888.3	12366	13457	+	1092	165
SCO0011	NC_003888.3	13214	14023	-	810	92
SCO0012	NC_003888.3	14044	14454	-	411	92
SCO0013	NC_003888.3	14739	15029	-	291	4
SCO0014	NC_003888.3	15317	15595	-	279	15
SCO0015	NC_003888.3	16070	17302	-	1233	6
SCO0016	NC_003888.3	17715	17918	+	204	8
SCO0017	NC_003888.3	17919	18263	+	345	10
SCO0018	NC_003888.3	18485	19351	-	867	136
SCO0019	NC_003888.3	19517	19771	-	255	22
SCO0020	NC_003888.3	19974	21620	+	1647	20
SCO0021	NC_003888.3	21617	22210	+	594	20
SCO0022	NC_003888.3	22156	22761	-	606	14
SCO0025	NC_003888.3	22843	23061	+	219	1
SCO0026	NC_003888.3	23316	23831	+	516	78
SCO0027	NC_003888.3	23977	24345	-	369	18
SCO0028	NC_003888.3	24378	24521	-	144	2
SCO0029	NC_003888.3	24644	24943	+	300	11
SCO0030	NC_003888.3	25251	25871	+	621	4
SCO0031	NC_003888.3	25843	26385	-	543	12
SCO0033	NC_003888.3	26527	28773	-	2247	14
SCO0034	NC_003888.3	29040	29519	+	480	1
SCO0035	NC_003888.3	29605	30054	-	450	6
SCO0036	NC_003888.3	30116	30355	-	240	31
SCO0037	NC_003888.3	30379	31131	-	753	165
SCO0038	NC_003888.3	31146	31274	-	129	112
SCO0039	NC_003888.3	31520	32137	+	618	24
SCO0040	NC_003888.3	32134	33357	+	1224	9
SCO0041	NC_003888.3	33360	33845	+	486	16
SCO0042	NC_003888.3	33842	34777	+	936	88
