# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-P" "-B" "-a" "/home/duc/dbMisc/M145.gff" "-t" "gene" "-g" "locus_tag" "--minOverlap" "20" "--fracOverlap" "0.25" "-o" "gene_counts_filtered/C24_2.txt" "align/C24_2.bam" 
Geneid	Chr	Start	End	Strand	Length	align/C24_2.bam
SCO0001	NC_003888.3	446	1123	+	678	37
SCO0002	NC_003888.3	1252	3813	+	2562	224
SCO0003	NC_003888.3	3869	6220	+	2352	122
SCO0004	NC_003888.3	6226	7173	+	948	569
SCO0005	NC_003888.3	7187	9307	+	2121	549
SCO0006	NC_003888.3	9304	10410	+	1107	67
SCO0007	NC_003888.3	10554	11000	-	447	3
SCO0008	NC_003888.3	11010	11360	-	351	2
SCO0009	NC_003888.3	11617	11952	-	336	5
SCO0010	NC_003888.3	12366	13457	+	1092	265
SCO0011	NC_003888.3	13214	14023	-	810	105
SCO0012	NC_003888.3	14044	14454	-	411	117
SCO0013	NC_003888.3	14739	15029	-	291	11
SCO0014	NC_003888.3	15317	15595	-	279	36
SCO0015	NC_003888.3	16070	17302	-	1233	3
SCO0016	NC_003888.3	17715	17918	+	204	8
SCO0017	NC_003888.3	17919	18263	+	345	25
SCO0018	NC_003888.3	18485	19351	-	867	169
SCO0019	NC_003888.3	19517	19771	-	255	27
SCO0020	NC_003888.3	19974	21620	+	1647	22
SCO0021	NC_003888.3	21617	22210	+	594	40
SCO0022	NC_003888.3	22156	22761	-	606	12
SCO0025	NC_003888.3	22843	23061	+	219	4
SCO0026	NC_003888.3	23316	23831	+	516	151
SCO0027	NC_003888.3	23977	24345	-	369	29
SCO0028	NC_003888.3	24378	24521	-	144	8
SCO0029	NC_003888.3	24644	24943	+	300	9
SCO0030	NC_003888.3	25251	25871	+	621	2
SCO0031	NC_003888.3	25843	26385	-	543	9
SCO0033	NC_003888.3	26527	28773	-	2247	8
SCO0034	NC_003888.3	29040	29519	+	480	1
SCO0035	NC_003888.3	29605	30054	-	450	3
SCO0036	NC_003888.3	30116	30355	-	240	17
SCO0037	NC_003888.3	30379	31131	-	753	39
SCO0038	NC_003888.3	31146	31274	-	129	43
SCO0039	NC_003888.3	31520	32137	+	618	22
SCO0040	NC_003888.3	32134	33357	+	1224	14
SCO0041	NC_003888.3	33360	33845	+	486	0
SCO0042	NC_003888.3	33842	34777	+	936	9
SCO0043	NC_003888.3	35179	35907	-	729	27
SCO0044	NC_003888.3	36006	36674	-	669	6
SCO0045	NC_003888.3	36689	36817	-	129	0
SCO0046	NC_003888.3	36816	37478	+	663	35
SCO0047	NC_003888.3	37614	38768	-	1155	237
SCO0048	NC_003888.3	39107	39490	-	384	3
SCO0049	NC_003888.3	39489	39812	+	324	3
SCO0050	NC_003888.3	39877	40212	+	336	9
SCO0055	NC_003888.3	42171	43682	-	1512	391
SCO0056	NC_003888.3	43768	43857	+	90	1
SCO0057	NC_003888.3	43950	44090	+	141	55
SCO0058	NC_003888.3	44253	44975	+	723	253
SCO0059	NC_003888.3	45267	46073	+	807	111
SCO0060	NC_003888.3	46064	46201	+	138	30
SCO0061	NC_003888.3	46430	47734	-	1305	238
SCO0062	NC_003888.3	47789	48892	-	1104	350
SCO0063	NC_003888.3	48889	49824	-	936	184
SCO0064	NC_003888.3	49821	51539	-	1719	26
SCO0065	NC_003888.3	51831	53144	+	1314	19
SCO0066	NC_003888.3	53141	54100	+	960	29
SCO0067	NC_003888.3	54097	54918	+	822	16
SCO0068	NC_003888.3	54968	56173	+	1206	9
SCO0069	NC_003888.3	56225	59383	+	3159	61
SCO0070	NC_003888.3	59558	60241	+	684	5
SCO0071	NC_003888.3	60069	60275	-	207	1
SCO0072	NC_003888.3	60740	64093	-	3354	125
SCO0073	NC_003888.3	64605	64925	+	321	1
SCO0074	NC_003888.3	64994	65092	+	99	0
SCO0075	NC_003888.3	65092	65679	+	588	42
SCO0079	NC_003888.3	66688	67911	-	1224	94
SCO0080	NC_003888.3	68372	68887	+	516	45
SCO0083	NC_003888.3	69799	70647	+	849	16
SCO0084	NC_003888.3	70777	71235	+	459	27
SCO0085	NC_003888.3	71648	72139	-	492	21
SCO0086	NC_003888.3	72159	73097	-	939	63
SCO0087	NC_003888.3	73784	74833	-	1050	53
SCO0088	NC_003888.3	74917	75876	-	960	39
SCO0089	NC_003888.3	75856	76893	+	1038	290
SCO0090	NC_003888.3	76895	77314	-	420	12
SCO0091	NC_003888.3	77315	78271	+	957	350
SCO0095	NC_003888.3	78983	79702	-	720	10
SCO0096	NC_003888.3	79839	80690	-	852	138
SCO0097	NC_003888.3	80845	81165	-	321	159
SCO0098	NC_003888.3	81602	82441	-	840	99
SCO0101	NC_003888.3	83516	83992	-	477	105
SCO0102	NC_003888.3	84893	85339	+	447	77
SCO0103	NC_003888.3	85336	86643	+	1308	140
SCO0104	NC_003888.3	86640	87311	+	672	61
SCO0105	NC_003888.3	87907	88632	-	726	103
SCO0106	NC_003888.3	89073	89465	+	393	131
SCO0107	NC_003888.3	89486	90043	-	558	309
SCO0108	NC_003888.3	90242	90391	+	150	0
SCO0109	NC_003888.3	90395	90865	-	471	26
SCO0110	NC_003888.3	90951	91790	-	840	181
SCO0111	NC_003888.3	91977	92729	+	753	4
SCO0112	NC_003888.3	92773	92928	-	156	3
SCO0116	NC_003888.3	94306	94872	-	567	92
SCO0117	NC_003888.3	94989	95681	+	693	13
SCO0118	NC_003888.3	95989	97518	+	1530	959
SCO0119	NC_003888.3	97760	98281	-	522	939
SCO0120	NC_003888.3	98463	99338	-	876	287
SCO0121	NC_003888.3	99335	99949	-	615	372
SCO0122	NC_003888.3	100190	101566	+	1377	312
SCO0123	NC_003888.3	101656	103002	-	1347	262
SCO0124	NC_003888.3	103628	104989	+	1362	795
SCO0125	NC_003888.3	105057	106640	+	1584	488
SCO0126	NC_003888.3	106637	112885	+	6249	2832
SCO0127	NC_003888.3	112932	119654	+	6723	2012
SCO0128	NC_003888.3	119651	119833	+	183	36
SCO0129	NC_003888.3	119841	120215	+	375	80
SCO0130	NC_003888.3	120457	121371	+	915	36
SCO0131	NC_003888.3	121617	122456	-	840	11
SCO0132	NC_003888.3	122743	125502	+	2760	305
SCO0133	NC_003888.3	125625	126005	-	381	8
SCO0134	NC_003888.3	126989	127294	-	306	19
SCO0135	NC_003888.3	127571	128290	+	720	70
SCO0136	NC_003888.3	128634	130184	-	1551	108
SCO0137	NC_003888.3	130201	131001	-	801	97
SCO0138	NC_003888.3	131523	132296	+	774	13
SCO0139	NC_003888.3	132327	132647	+	321	13
SCO0140	NC_003888.3	132693	133520	+	828	166
SCO0141	NC_003888.3	133570	134121	-	552	311
SCO0142	NC_003888.3	134295	136100	-	1806	126
SCO0143	NC_003888.3	136647	137183	+	537	49
SCO0144	NC_003888.3	137197	137556	+	360	36
SCO0145	NC_003888.3	137561	138589	+	1029	125
SCO0147	NC_003888.3	138976	139467	+	492	57
SCO0148	NC_003888.3	139467	139712	+	246	20
SCO0149	NC_003888.3	139703	140299	-	597	90
SCO0150	NC_003888.3	140368	140862	+	495	52
SCO0151	NC_003888.3	141370	141708	+	339	11
SCO0152	NC_003888.3	141705	143315	+	1611	24
SCO0153	NC_003888.3	143776	144363	-	588	76
SCO0154	NC_003888.3	144704	145366	-	663	16
SCO0155	NC_003888.3	145499	146122	+	624	83
SCO0156	NC_003888.3	146034	146351	-	318	22
SCO0157	NC_003888.3	146603	146980	+	378	3
SCO0158	NC_003888.3	146977	148206	+	1230	13
SCO0159	NC_003888.3	148216	149184	+	969	24
SCO0160	NC_003888.3	149508	150209	-	702	31
SCO0161	NC_003888.3	150181	150525	-	345	2
SCO0162	NC_003888.3	150579	151571	+	993	14
SCO0163	NC_003888.3	151749	153275	+	1527	26
SCO0164	NC_003888.3	153398	155728	+	2331	25
SCO0165	NC_003888.3	155707	156120	-	414	24
SCO0166	NC_003888.3	156338	157141	+	804	66
SCO0167	NC_003888.3	157189	158073	-	885	35
SCO0168	NC_003888.3	158732	159304	+	573	35
SCO0169	NC_003888.3	159372	160025	+	654	56
SCO0170	NC_003888.3	160356	161027	-	672	43
SCO0171	NC_003888.3	161237	162553	+	1317	5
SCO0172	NC_003888.3	162661	163119	+	459	9
SCO0173	NC_003888.3	163235	164017	-	783	45
SCO0174	NC_003888.3	164023	164994	-	972	7
SCO0175	NC_003888.3	165059	165406	-	348	1
SCO0176	NC_003888.3	165460	165855	+	396	0
SCO0177	NC_003888.3	166033	166614	+	582	7
SCO0178	NC_003888.3	166891	167337	+	447	10
SCO0179	NC_003888.3	167444	168514	-	1071	25
SCO0180	NC_003888.3	168705	169556	-	852	12
SCO0181	NC_003888.3	169584	170570	-	987	3
SCO0182	NC_003888.3	170656	170880	-	225	0
SCO0183	NC_003888.3	170911	172158	+	1248	4
SCO0184	NC_003888.3	172170	173984	+	1815	6
SCO0185	NC_003888.3	173768	174946	+	1179	49
SCO0186	NC_003888.3	174943	176514	+	1572	22
SCO0187	NC_003888.3	176501	177496	+	996	14
SCO0188	NC_003888.3	177493	178503	+	1011	32
SCO0189	NC_003888.3	178519	180087	-	1569	101
SCO0190	NC_003888.3	180084	180824	-	741	36
SCO0191	NC_003888.3	180821	182038	-	1218	95
SCO0192	NC_003888.3	182309	183559	-	1251	575
SCO0193	NC_003888.3	183793	184797	-	1005	3226
SCO0194	NC_003888.3	184958	185566	+	609	9113
SCO0195	NC_003888.3	185675	186361	+	687	5811
SCO0196	NC_003888.3	186483	186887	+	405	819
SCO0197	NC_003888.3	187019	187459	-	441	134
SCO0198	NC_003888.3	187992	188858	-	867	45
SCO0199	NC_003888.3	188864	189886	-	1023	14
SCO0200	NC_003888.3	189925	190830	-	906	27
SCO0201	NC_003888.3	190983	191654	-	672	18
SCO0202	NC_003888.3	191919	192848	+	930	62
SCO0203	NC_003888.3	192880	194637	-	1758	952
SCO0204	NC_003888.3	194760	195461	-	702	174
SCO0207	NC_003888.3	196386	196991	-	606	3
SCO0208	NC_003888.3	197221	199917	+	2697	25
SCO0209	NC_003888.3	200024	200428	+	405	3
SCO0210	NC_003888.3	200728	201369	+	642	2
SCO0211	NC_003888.3	201374	202090	+	717	7
SCO0212	NC_003888.3	202370	202843	-	474	19
SCO0213	NC_003888.3	202863	204101	-	1239	10
SCO0214	NC_003888.3	204387	204800	+	414	12
SCO0215	NC_003888.3	204881	205888	-	1008	3
SCO0216	NC_003888.3	206480	210181	+	3702	54
SCO0217	NC_003888.3	210183	211751	+	1569	12
SCO0218	NC_003888.3	211748	212551	+	804	2
SCO0219	NC_003888.3	212551	213321	+	771	8
SCO0220	NC_003888.3	213427	213870	+	444	17
SCO0222	NC_003888.3	214913	215446	+	534	378
SCO0223	NC_003888.3	215443	215559	+	117	116
SCO0224	NC_003888.3	215807	216844	-	1038	243
SCO0225	NC_003888.3	216834	217268	-	435	26
SCO0226	NC_003888.3	217315	218019	-	705	144
SCO0227	NC_003888.3	218418	218780	-	363	0
SCO0228	NC_003888.3	218973	219059	+	87	1
SCO0229	NC_003888.3	219302	220150	+	849	232
SCO0230	NC_003888.3	220150	220764	+	615	143
SCO0231	NC_003888.3	221092	221247	-	156	44
SCO0232	NC_003888.3	221414	221599	-	186	6
SCO0233	NC_003888.3	221699	222538	-	840	56
SCO0234	NC_003888.3	222827	223288	+	462	12
SCO0235	NC_003888.3	223294	224232	+	939	141
SCO0236	NC_003888.3	224404	225276	-	873	64
SCO0237	NC_003888.3	225476	226237	+	762	8
SCO0238	NC_003888.3	226481	227008	+	528	20
SCO0239	NC_003888.3	227081	228154	-	1074	48
SCO0240	NC_003888.3	228714	229649	-	936	52
SCO0241	NC_003888.3	229995	230669	+	675	49
SCO0242	NC_003888.3	231022	231465	+	444	539
SCO0243	NC_003888.3	231475	231654	+	180	187
SCO0244	NC_003888.3	232508	233518	+	1011	164
SCO0245	NC_003888.3	233854	234873	-	1020	143
SCO0246	NC_003888.3	234870	236207	-	1338	275
SCO0247	NC_003888.3	236782	237807	+	1026	1416
SCO0248	NC_003888.3	237664	238251	-	588	581
SCO0249	NC_003888.3	238280	239794	-	1515	219
SCO0250	NC_003888.3	239858	240523	+	666	132
SCO0251	NC_003888.3	240559	240843	-	285	58
SCO0252	NC_003888.3	240876	242123	-	1248	123
SCO0253	NC_003888.3	242194	242766	+	573	122
SCO0254	NC_003888.3	243022	243762	-	741	225
SCO0255	NC_003888.3	243936	245672	-	1737	153
SCO0256	NC_003888.3	245986	246783	+	798	943
SCO0257	NC_003888.3	246868	247869	+	1002	639
SCO0258	NC_003888.3	247871	248680	+	810	624
SCO0259	NC_003888.3	248677	249702	+	1026	743
SCO0260	NC_003888.3	249755	250084	+	330	538
SCO0261	NC_003888.3	250164	250691	-	528	64
SCO0262	NC_003888.3	250805	251740	+	936	161
SCO0263	NC_003888.3	251764	252879	-	1116	53
SCO0264	NC_003888.3	252946	253398	+	453	193
SCO0265	NC_003888.3	253499	254290	+	792	253
SCO0266	NC_003888.3	254332	255309	-	978	59
SCO0267	NC_003888.3	255311	256087	+	777	20
SCO0268	NC_003888.3	256281	256442	+	162	277
SCO0269	NC_003888.3	256526	259687	+	3162	385
SCO0270	NC_003888.3	259684	261084	+	1401	93
SCO0271	NC_003888.3	261366	262319	+	954	27
SCO0272	NC_003888.3	262330	263220	+	891	16
SCO0273	NC_003888.3	263285	264634	+	1350	36
SCO0274	NC_003888.3	264764	266263	+	1500	53
SCO0275	NC_003888.3	266356	267513	+	1158	212
SCO0276	NC_003888.3	267585	268838	+	1254	401
SCO0277	NC_003888.3	269020	269688	-	669	332
SCO0278	NC_003888.3	269783	270397	+	615	26
SCO0279	NC_003888.3	270477	271748	+	1272	168
SCO0280	NC_003888.3	271768	272469	-	702	68
SCO0281	NC_003888.3	272466	272834	-	369	24
SCO0282	NC_003888.3	272892	273656	+	765	114
SCO0283	NC_003888.3	274101	274595	-	495	17
SCO0284	NC_003888.3	274763	276805	+	2043	216
SCO0285	NC_003888.3	276938	278827	+	1890	177
SCO0286	NC_003888.3	278910	279416	-	507	193
SCO0287	NC_003888.3	279691	280695	+	1005	136
SCO0288	NC_003888.3	280692	281132	-	441	77
SCO0289	NC_003888.3	281129	282157	-	1029	276
SCO0290	NC_003888.3	282491	283801	+	1311	17
SCO0291	NC_003888.3	283798	284700	+	903	41
SCO0292	NC_003888.3	284702	285598	+	897	20
SCO0293	NC_003888.3	285714	288104	+	2391	61
SCO0294	NC_003888.3	288187	288840	-	654	92
SCO0295	NC_003888.3	288987	290456	-	1470	69
SCO0296	NC_003888.3	290584	291165	+	582	89
SCO0297	NC_003888.3	291315	292592	+	1278	4685
SCO0298	NC_003888.3	292656	293519	-	864	1307
SCO0299	NC_003888.3	293613	294497	+	885	140
SCO0300	NC_003888.3	294494	296305	-	1812	529
SCO0301	NC_003888.3	296471	297499	+	1029	61
SCO0302	NC_003888.3	297515	298108	-	594	295
SCO0303	NC_003888.3	298105	298311	-	207	0
SCO0304	NC_003888.3	298468	298836	-	369	16
SCO0305	NC_003888.3	299213	302092	+	2880	1254
SCO0307	NC_003888.3	303084	303971	+	888	70
SCO0308	NC_003888.3	304026	305429	+	1404	474
SCO0309	NC_003888.3	305537	306625	-	1089	114
SCO0310	NC_003888.3	306816	307466	-	651	162
SCO0311	NC_003888.3	307575	309131	+	1557	4
SCO0312	NC_003888.3	309147	310316	+	1170	13
SCO0313	NC_003888.3	310378	311727	+	1350	8
SCO0314	NC_003888.3	311724	313670	+	1947	24
SCO0315	NC_003888.3	313697	315055	-	1359	59
SCO0316	NC_003888.3	315254	316921	-	1668	82
SCO0317	NC_003888.3	316975	318237	-	1263	116
SCO0318	NC_003888.3	318329	319345	-	1017	20
SCO0319	NC_003888.3	319499	320008	-	510	354
SCO0320	NC_003888.3	320110	320583	+	474	658
SCO0321	NC_003888.3	320699	322255	+	1557	581
SCO0322	NC_003888.3	322244	323938	-	1695	57
SCO0323	NC_003888.3	324467	325069	-	603	11454
SCO0324	NC_003888.3	325238	327616	-	2379	2593
SCO0325	NC_003888.3	327899	328264	+	366	1
SCO0326	NC_003888.3	328333	329301	+	969	97
SCO0329	NC_003888.3	330235	331365	+	1131	85
SCO0330	NC_003888.3	331504	332253	+	750	35
SCO0331	NC_003888.3	332311	333210	+	900	16
SCO0332	NC_003888.3	333529	334149	+	621	53
SCO0333	NC_003888.3	334223	335734	-	1512	76
SCO0334	NC_003888.3	335948	336292	+	345	0
SCO0335	NC_003888.3	336333	339467	+	3135	108
SCO0336	NC_003888.3	339521	340630	-	1110	27
SCO0337	NC_003888.3	340752	341318	+	567	159
SCO0338	NC_003888.3	341370	341909	-	540	74
SCO0339	NC_003888.3	341992	342561	+	570	30
SCO0340	NC_003888.3	342578	343165	-	588	101
SCO0341	NC_003888.3	343234	345663	-	2430	15
SCO0342	NC_003888.3	345817	347706	-	1890	11
SCO0343	NC_003888.3	347814	348083	+	270	6
SCO0344	NC_003888.3	348137	349381	+	1245	92
SCO0345	NC_003888.3	349419	350201	-	783	113
SCO0346	NC_003888.3	350474	351352	+	879	13
SCO0347	NC_003888.3	351529	352779	+	1251	52
SCO0348	NC_003888.3	352776	353795	+	1020	35
SCO0349	NC_003888.3	353801	354805	+	1005	18
SCO0350	NC_003888.3	354802	355686	+	885	22
SCO0351	NC_003888.3	355683	357158	+	1476	34
SCO0352	NC_003888.3	357209	358477	+	1269	43
SCO0353	NC_003888.3	358481	359392	+	912	39
SCO0354	NC_003888.3	359389	360231	+	843	17
SCO0355	NC_003888.3	360305	360646	+	342	11
SCO0356	NC_003888.3	360674	361465	+	792	32
SCO0357	NC_003888.3	361759	362478	-	720	318
SCO0358	NC_003888.3	362635	363777	+	1143	170
SCO0359	NC_003888.3	363774	364496	+	723	148
SCO0360	NC_003888.3	364559	365551	-	993	562
SCO0361	NC_003888.3	365623	366795	-	1173	104
SCO0362	NC_003888.3	366935	368146	+	1212	11
SCO0363	NC_003888.3	368143	369252	+	1110	13
SCO0364	NC_003888.3	369249	370055	+	807	16
SCO0365	NC_003888.3	370066	370812	+	747	20
SCO0366	NC_003888.3	370809	371876	+	1068	22
SCO0367	NC_003888.3	371921	372478	-	558	34
SCO0368	NC_003888.3	373045	374001	+	957	308
SCO0369	NC_003888.3	373998	377255	-	3258	41
SCO0370	NC_003888.3	377286	380690	-	3405	13
SCO0371	NC_003888.3	380751	383360	-	2610	8
SCO0372	NC_003888.3	383578	386592	-	3015	44
SCO0373	NC_003888.3	386761	387360	-	600	56
SCO0374	NC_003888.3	387750	389519	+	1770	3058
SCO0375	NC_003888.3	389531	391123	-	1593	608
SCO0376	NC_003888.3	391232	391834	+	603	171
SCO0377	NC_003888.3	391950	392483	-	534	60
SCO0378	NC_003888.3	392484	393218	-	735	36
SCO0379	NC_003888.3	393498	394961	+	1464	10638
SCO0380	NC_003888.3	395065	395460	+	396	394
SCO0381	NC_003888.3	395939	397414	+	1476	4424
SCO0382	NC_003888.3	397485	398810	+	1326	5015
SCO0383	NC_003888.3	398881	400104	+	1224	5394
SCO0384	NC_003888.3	400179	401468	+	1290	3583
SCO0385	NC_003888.3	401465	403030	+	1566	3430
SCO0386	NC_003888.3	403034	404968	+	1935	2850
SCO0387	NC_003888.3	405070	407250	+	2181	4407
SCO0388	NC_003888.3	407253	409214	+	1962	3376
SCO0389	NC_003888.3	409237	410772	+	1536	1731
SCO0390	NC_003888.3	410774	412006	+	1233	793
SCO0391	NC_003888.3	412009	413250	+	1242	1185
SCO0392	NC_003888.3	413247	414497	+	1251	2939
SCO0393	NC_003888.3	414494	415303	+	810	1909
SCO0394	NC_003888.3	415300	415947	+	648	1675
SCO0395	NC_003888.3	415951	416976	+	1026	3402
SCO0396	NC_003888.3	416973	418247	+	1275	3682
SCO0397	NC_003888.3	418253	419542	+	1290	1763
SCO0398	NC_003888.3	419539	420486	+	948	1746
SCO0399	NC_003888.3	420492	421715	+	1224	2408
SCO0400	NC_003888.3	421712	422263	+	552	1000
SCO0401	NC_003888.3	422271	423596	+	1326	2840
SCO0402	NC_003888.3	423654	424406	-	753	1526
SCO0403	NC_003888.3	424609	425226	-	618	137
SCO0404	NC_003888.3	425243	425983	+	741	272
SCO0405	NC_003888.3	426015	426833	-	819	911
SCO0406	NC_003888.3	426893	427606	+	714	29
SCO0407	NC_003888.3	427610	428614	+	1005	63
SCO0408	NC_003888.3	428615	429403	+	789	1091
SCO0409	NC_003888.3	429492	429956	-	465	363
SCO0410	NC_003888.3	430071	431321	-	1251	179
SCO0411	NC_003888.3	431327	431551	+	225	172
SCO0412	NC_003888.3	431551	431934	+	384	321
SCO0413	NC_003888.3	431962	432564	-	603	455
SCO0414	NC_003888.3	432617	433513	-	897	331
SCO0415	NC_003888.3	433615	433977	+	363	31
SCO0416	NC_003888.3	433984	434589	-	606	56
SCO0417	NC_003888.3	434651	435397	-	747	111
SCO0418	NC_003888.3	435456	436103	+	648	3
SCO0419	NC_003888.3	436235	437224	+	990	212
SCO0420	NC_003888.3	437253	438287	-	1035	498
SCO0421	NC_003888.3	438329	438988	-	660	48
SCO0422	NC_003888.3	438997	440190	-	1194	87
SCO0423	NC_003888.3	440282	442579	-	2298	44
SCO0424	NC_003888.3	442700	443191	+	492	4
SCO0425	NC_003888.3	443293	444243	-	951	61
SCO0426	NC_003888.3	444441	444671	+	231	11
SCO0427	NC_003888.3	444752	445588	+	837	115
SCO0428	NC_003888.3	445611	446144	+	534	79
SCO0429	NC_003888.3	446214	447161	-	948	123
SCO0430	NC_003888.3	447185	447868	+	684	98
SCO0431	NC_003888.3	447890	449218	-	1329	108
SCO0432	NC_003888.3	449515	453252	+	3738	238
SCO0433	NC_003888.3	453370	454374	+	1005	123
