# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-P" "-B" "-a" "/home/duc/dbMisc/M145.gff" "-t" "gene" "-g" "locus_tag" "--minOverlap" "20" "--fracOverlap" "0.25" "-o" "gene_counts_filtered/C45_3.txt" "align/C45_3.bam" 
Geneid	Chr	Start	End	Strand	Length	align/C45_3.bam
SCO0001	NC_003888.3	446	1123	+	678	53
SCO0002	NC_003888.3	1252	3813	+	2562	204
SCO0003	NC_003888.3	3869	6220	+	2352	101
SCO0004	NC_003888.3	6226	7173	+	948	268
SCO0005	NC_003888.3	7187	9307	+	2121	269
SCO0006	NC_003888.3	9304	10410	+	1107	41
SCO0007	NC_003888.3	10554	11000	-	447	6
SCO0008	NC_003888.3	11010	11360	-	351	1
SCO0009	NC_003888.3	11617	11952	-	336	6
SCO0010	NC_003888.3	12366	13457	+	1092	204
SCO0011	NC_003888.3	13214	14023	-	810	97
SCO0012	NC_003888.3	14044	14454	-	411	109
SCO0013	NC_003888.3	14739	15029	-	291	7
SCO0014	NC_003888.3	15317	15595	-	279	16
SCO0015	NC_003888.3	16070	17302	-	1233	4
SCO0016	NC_003888.3	17715	17918	+	204	9
SCO0017	NC_003888.3	17919	18263	+	345	30
SCO0018	NC_003888.3	18485	19351	-	867	171
SCO0019	NC_003888.3	19517	19771	-	255	23
SCO0020	NC_003888.3	19974	21620	+	1647	31
SCO0021	NC_003888.3	21617	22210	+	594	51
SCO0022	NC_003888.3	22156	22761	-	606	6
SCO0025	NC_003888.3	22843	23061	+	219	0
SCO0026	NC_003888.3	23316	23831	+	516	109
SCO0027	NC_003888.3	23977	24345	-	369	15
SCO0028	NC_003888.3	24378	24521	-	144	7
SCO0029	NC_003888.3	24644	24943	+	300	7
SCO0030	NC_003888.3	25251	25871	+	621	7
SCO0031	NC_003888.3	25843	26385	-	543	7
SCO0033	NC_003888.3	26527	28773	-	2247	17
SCO0034	NC_003888.3	29040	29519	+	480	1
SCO0035	NC_003888.3	29605	30054	-	450	5
SCO0036	NC_003888.3	30116	30355	-	240	17
SCO0037	NC_003888.3	30379	31131	-	753	163
SCO0038	NC_003888.3	31146	31274	-	129	143
SCO0039	NC_003888.3	31520	32137	+	618	22
SCO0040	NC_003888.3	32134	33357	+	1224	25
SCO0041	NC_003888.3	33360	33845	+	486	10
SCO0042	NC_003888.3	33842	34777	+	936	73
SCO0043	NC_003888.3	35179	35907	-	729	716
SCO0044	NC_003888.3	36006	36674	-	669	10
SCO0045	NC_003888.3	36689	36817	-	129	0
SCO0046	NC_003888.3	36816	37478	+	663	46
SCO0047	NC_003888.3	37614	38768	-	1155	218
SCO0048	NC_003888.3	39107	39490	-	384	14
SCO0049	NC_003888.3	39489	39812	+	324	31
SCO0050	NC_003888.3	39877	40212	+	336	23
SCO0055	NC_003888.3	42171	43682	-	1512	231
SCO0056	NC_003888.3	43768	43857	+	90	3
SCO0057	NC_003888.3	43950	44090	+	141	39
SCO0058	NC_003888.3	44253	44975	+	723	392
SCO0059	NC_003888.3	45267	46073	+	807	108
SCO0060	NC_003888.3	46064	46201	+	138	24
SCO0061	NC_003888.3	46430	47734	-	1305	260
SCO0062	NC_003888.3	47789	48892	-	1104	342
SCO0063	NC_003888.3	48889	49824	-	936	195
