# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "16" "-p" "-P" "-B" "-a" "/home/duc/dbMisc/M145.gff" "-t" "gene" "-g" "locus_tag" "--minOverlap" "20" "--fracOverlap" "0.25" "-o" "gene_counts_filtered/C24_1.txt" "align/C24_1.bam" 
Geneid	Chr	Start	End	Strand	Length	align/C24_1.bam
SCO0001	NC_003888.3	446	1123	+	678	34
SCO0002	NC_003888.3	1252	3813	+	2562	144
SCO0003	NC_003888.3	3869	6220	+	2352	86
SCO0004	NC_003888.3	6226	7173	+	948	384
SCO0005	NC_003888.3	7187	9307	+	2121	397
SCO0006	NC_003888.3	9304	10410	+	1107	53
SCO0007	NC_003888.3	10554	11000	-	447	3
SCO0008	NC_003888.3	11010	11360	-	351	0
SCO0009	NC_003888.3	11617	11952	-	336	6
SCO0010	NC_003888.3	12366	13457	+	1092	168
SCO0011	NC_003888.3	13214	14023	-	810	100
SCO0012	NC_003888.3	14044	14454	-	411	92
SCO0013	NC_003888.3	14739	15029	-	291	10
SCO0014	NC_003888.3	15317	15595	-	279	17
SCO0015	NC_003888.3	16070	17302	-	1233	1
SCO0016	NC_003888.3	17715	17918	+	204	4
SCO0017	NC_003888.3	17919	18263	+	345	22
SCO0018	NC_003888.3	18485	19351	-	867	130
SCO0019	NC_003888.3	19517	19771	-	255	24
SCO0020	NC_003888.3	19974	21620	+	1647	18
SCO0021	NC_003888.3	21617	22210	+	594	44
SCO0022	NC_003888.3	22156	22761	-	606	13
SCO0025	NC_003888.3	22843	23061	+	219	5
SCO0026	NC_003888.3	23316	23831	+	516	89
SCO0027	NC_003888.3	23977	24345	-	369	23
SCO0028	NC_003888.3	24378	24521	-	144	9
SCO0029	NC_003888.3	24644	24943	+	300	8
SCO0030	NC_003888.3	25251	25871	+	621	5
SCO0031	NC_003888.3	25843	26385	-	543	12
SCO0033	NC_003888.3	26527	28773	-	2247	6
SCO0034	NC_003888.3	29040	29519	+	480	1
SCO0035	NC_003888.3	29605	30054	-	450	5
SCO0036	NC_003888.3	30116	30355	-	240	11
SCO0037	NC_003888.3	30379	31131	-	753	39
SCO0038	NC_003888.3	31146	31274	-	129	30
SCO0039	NC_003888.3	31520	32137	+	618	10
SCO0040	NC_003888.3	32134	33357	+	1224	8
SCO0041	NC_003888.3	33360	33845	+	486	3
SCO0042	NC_003888.3	33842	34777	+	936	6
SCO0043	NC_003888.3	35179	35907	-	729	29
SCO0044	NC_003888.3	36006	36674	-	669	0
SCO0045	NC_003888.3	36689	36817	-	129	2
SCO0046	NC_003888.3	36816	37478	+	663	40
SCO0047	NC_003888.3	37614	38768	-	1155	135
SCO0048	NC_003888.3	39107	39490	-	384	1
SCO0049	NC_003888.3	39489	39812	+	324	4
SCO0050	NC_003888.3	39877	40212	+	336	11
SCO0055	NC_003888.3	42171	43682	-	1512	245
SCO0056	NC_003888.3	43768	43857	+	90	0
SCO0057	NC_003888.3	43950	44090	+	141	32
SCO0058	NC_003888.3	44253	44975	+	723	226
SCO0059	NC_003888.3	45267	46073	+	807	104
SCO0060	NC_003888.3	46064	46201	+	138	12
SCO0061	NC_003888.3	46430	47734	-	1305	145
SCO0062	NC_003888.3	47789	48892	-	1104	267
SCO0063	NC_003888.3	48889	49824	-	936	133
SCO0064	NC_003888.3	49821	51539	-	1719	18
SCO0065	NC_003888.3	51831	53144	+	1314	17
SCO0066	NC_003888.3	53141	54100	+	960	17
SCO0067	NC_003888.3	54097	54918	+	822	11
SCO0068	NC_003888.3	54968	56173	+	1206	2
SCO0069	NC_003888.3	56225	59383	+	3159	33
SCO0070	NC_003888.3	59558	60241	+	684	4
SCO0071	NC_003888.3	60069	60275	-	207	2
SCO0072	NC_003888.3	60740	64093	-	3354	113
SCO0073	NC_003888.3	64605	64925	+	321	3
SCO0074	NC_003888.3	64994	65092	+	99	0
SCO0075	NC_003888.3	65092	65679	+	588	20
SCO0079	NC_003888.3	66688	67911	-	1224	86
SCO0080	NC_003888.3	68372	68887	+	516	49
SCO0083	NC_003888.3	69799	70647	+	849	18
SCO0084	NC_003888.3	70777	71235	+	459	29
SCO0085	NC_003888.3	71648	72139	-	492	9
SCO0086	NC_003888.3	72159	73097	-	939	59
SCO0087	NC_003888.3	73784	74833	-	1050	34
SCO0088	NC_003888.3	74917	75876	-	960	36
SCO0089	NC_003888.3	75856	76893	+	1038	195
SCO0090	NC_003888.3	76895	77314	-	420	10
SCO0091	NC_003888.3	77315	78271	+	957	289
SCO0095	NC_003888.3	78983	79702	-	720	5
SCO0096	NC_003888.3	79839	80690	-	852	102
SCO0097	NC_003888.3	80845	81165	-	321	91
SCO0098	NC_003888.3	81602	82441	-	840	82
SCO0101	NC_003888.3	83516	83992	-	477	76
SCO0102	NC_003888.3	84893	85339	+	447	54
SCO0103	NC_003888.3	85336	86643	+	1308	97
SCO0104	NC_003888.3	86640	87311	+	672	60
SCO0105	NC_003888.3	87907	88632	-	726	95
SCO0106	NC_003888.3	89073	89465	+	393	114
SCO0107	NC_003888.3	89486	90043	-	558	293
SCO0108	NC_003888.3	90242	90391	+	150	2
SCO0109	NC_003888.3	90395	90865	-	471	20
SCO0110	NC_003888.3	90951	91790	-	840	124
SCO0111	NC_003888.3	91977	92729	+	753	8
SCO0112	NC_003888.3	92773	92928	-	156	10
SCO0116	NC_003888.3	94306	94872	-	567	67
SCO0117	NC_003888.3	94989	95681	+	693	9
SCO0118	NC_003888.3	95989	97518	+	1530	773
SCO0119	NC_003888.3	97760	98281	-	522	724
SCO0120	NC_003888.3	98463	99338	-	876	241
SCO0121	NC_003888.3	99335	99949	-	615	221
SCO0122	NC_003888.3	100190	101566	+	1377	213
SCO0123	NC_003888.3	101656	103002	-	1347	176
SCO0124	NC_003888.3	103628	104989	+	1362	613
SCO0125	NC_003888.3	105057	106640	+	1584	397
SCO0126	NC_003888.3	106637	112885	+	6249	2272
SCO0127	NC_003888.3	112932	119654	+	6723	1613
SCO0128	NC_003888.3	119651	119833	+	183	22
SCO0129	NC_003888.3	119841	120215	+	375	43
SCO0130	NC_003888.3	120457	121371	+	915	29
SCO0131	NC_003888.3	121617	122456	-	840	4
SCO0132	NC_003888.3	122743	125502	+	2760	226
SCO0133	NC_003888.3	125625	126005	-	381	10
SCO0134	NC_003888.3	126989	127294	-	306	15
SCO0135	NC_003888.3	127571	128290	+	720	39
SCO0136	NC_003888.3	128634	130184	-	1551	81
SCO0137	NC_003888.3	130201	131001	-	801	71
SCO0138	NC_003888.3	131523	132296	+	774	18
SCO0139	NC_003888.3	132327	132647	+	321	11
SCO0140	NC_003888.3	132693	133520	+	828	147
SCO0141	NC_003888.3	133570	134121	-	552	210
SCO0142	NC_003888.3	134295	136100	-	1806	93
SCO0143	NC_003888.3	136647	137183	+	537	39
SCO0144	NC_003888.3	137197	137556	+	360	39
SCO0145	NC_003888.3	137561	138589	+	1029	109
SCO0147	NC_003888.3	138976	139467	+	492	46
SCO0148	NC_003888.3	139467	139712	+	246	23
SCO0149	NC_003888.3	139703	140299	-	597	46
SCO0150	NC_003888.3	140368	140862	+	495	42
SCO0151	NC_003888.3	141370	141708	+	339	6
SCO0152	NC_003888.3	141705	143315	+	1611	18
SCO0153	NC_003888.3	143776	144363	-	588	54
SCO0154	NC_003888.3	144704	145366	-	663	7
SCO0155	NC_003888.3	145499	146122	+	624	61
SCO0156	NC_003888.3	146034	146351	-	318	19
SCO0157	NC_003888.3	146603	146980	+	378	0
SCO0158	NC_003888.3	146977	148206	+	1230	5
SCO0159	NC_003888.3	148216	149184	+	969	21
SCO0160	NC_003888.3	149508	150209	-	702	16
SCO0161	NC_003888.3	150181	150525	-	345	0
